feature,feature_type,training_levels,reference_level,training_missing_count,validation_missing_count,validation_unseen_count,training_fitted_imputation_value,protocol,seed,training_mode,encoded_features,removed_unidentified_columns,removed_linear_dependencies
feature_carriageway_hazards,categorical,14,-1:Data missing or out of range,0,0,0,,random_reference,3301,subset,120,16,5
feature_urban_or_rural_area,categorical,4,-1:Data missing or out of range,0,0,0,,random_reference,3301,subset,120,16,5
feature_trunk_road_flag,categorical,3,-1:Data missing or out of range,0,0,0,,random_reference,3301,subset,120,16,5
feature_month,categorical,12,M01,0,0,0,,random_reference,3301,subset,120,16,5
feature_hour,categorical,24,H00,0,0,0,,random_reference,3301,subset,120,16,5
feature_speed_limit,numeric,,,7,17,,30.0,random_reference,3301,subset,120,16,5
feature_day_of_week,categorical,7,1:Sunday,0,0,0,,random_reference,4409,subset,121,16,5
feature_first_road_class,categorical,6,1:Motorway,0,0,0,,random_reference,4409,subset,121,16,5
feature_road_type,categorical,6,1:Roundabout,0,0,0,,random_reference,4409,subset,121,16,5
feature_junction_detail,categorical,7,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_junction_control,categorical,6,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_second_road_class,categorical,9,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_pedestrian_crossing,categorical,10,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_light_conditions,categorical,6,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_weather_conditions,categorical,10,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_road_surface_conditions,categorical,7,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_special_conditions_at_site,categorical,10,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_carriageway_hazards,categorical,14,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_urban_or_rural_area,categorical,4,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_trunk_road_flag,categorical,3,-1:Data missing or out of range,0,0,0,,random_reference,4409,subset,121,16,5
feature_month,categorical,12,M01,0,0,0,,random_reference,4409,subset,121,16,5
feature_hour,categorical,24,H00,0,0,0,,random_reference,4409,subset,121,16,5
feature_speed_limit,numeric,,,18,8,,30.0,random_reference,4409,subset,121,16,5
feature_day_of_week,categorical,7,1:Sunday,0,0,0,,random_reference,5501,subset,119,16,5
feature_first_road_class,categorical,6,1:Motorway,0,0,0,,random_reference,5501,subset,119,16,5
feature_road_type,categorical,6,1:Roundabout,0,0,0,,random_reference,5501,subset,119,16,5
feature_junction_detail,categorical,7,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_junction_control,categorical,6,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_second_road_class,categorical,8,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_pedestrian_crossing,categorical,10,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_light_conditions,categorical,6,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_weather_conditions,categorical,10,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_road_surface_conditions,categorical,7,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_special_conditions_at_site,categorical,10,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_carriageway_hazards,categorical,14,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_urban_or_rural_area,categorical,3,1:Urban,0,0,3,,random_reference,5501,subset,119,16,5
feature_trunk_road_flag,categorical,3,-1:Data missing or out of range,0,0,0,,random_reference,5501,subset,119,16,5
feature_month,categorical,12,M01,0,0,0,,random_reference,5501,subset,119,16,5
feature_hour,categorical,24,H00,0,0,0,,random_reference,5501,subset,119,16,5
feature_speed_limit,numeric,,,12,13,,30.0,random_reference,5501,subset,119,16,5
